gen,pop,svv,bth
0,441,0,0
1,491,400,91
2,481,447,34
3,477,457,20
4,475,459,16
5,477,465,12
6,475,461,14
7,485,469,16
8,483,461,22
9,503,477,26
10,489,463,26
11,509,481,28
12,501,471,30
13,499,475,24
14,500,481,19
15,491,468,23
16,503,470,33
17,482,463,19
18,482,462,20
19,479,464,15
20,476,453,23
21,482,452,30
22,494,464,30
23,498,474,24
24,482,464,18
25,492,460,32
26,482,462,20
27,486,470,16
28,504,470,34
29,492,474,18
30,494,476,18
31,480,464,16
32,484,468,16
33,494,470,24
34,492,474,18
35,514,476,38
36,478,464,14
37,476,452,24
38,470,454,16
39,478,464,14
40,472,464,8
41,472,462,10
42,478,458,20
43,482,462,20
44,482,460,22
45,492,466,26
46,498,472,26
47,498,470,28
48,512,476,36
49,494,462,32
50,506,474,32
51,506,476,30
52,516,474,42
53,518,478,40
54,498,470,28
55,500,462,38
56,514,476,38
57,484,464,20
58,480,462,18
59,472,460,12
60,470,460,10
61,472,462,10
62,468,458,10
63,469,458,11
64,463,449,14
65,465,455,10
66,463,453,10
67,461,448,13
68,461,453,8
69,460,453,7
70,463,452,11
71,463,456,7
72,456,453,3
73,457,449,8
74,450,445,5
75,456,448,8
76,453,445,8
77,456,449,7
78,456,446,10
79,455,450,5
80,457,446,11
81,452,446,6
82,452,444,8
83,448,442,6
84,453,444,9
85,447,439,8
86,449,441,8
87,445,441,4
88,442,436,6
89,443,439,4
90,441,438,3
91,440,437,3
92,440,438,2
93,440,438,2
94,440,438,2
95,440,438,2
96,440,438,2
97,440,438,2
98,440,438,2
99,440,438,2
100,440,438,2
101,440,438,2
102,440,438,2
103,440,438,2
104,441,438,3
105,439,435,4
106,439,435,4
107,441,437,4
108,441,438,3
109,441,439,2
110,442,437,5
111,443,438,5
112,445,442,3
113,442,439,3
114,445,439,6
115,442,437,5
116,448,440,8
117,445,437,8
118,448,441,7
119,448,438,10
120,447,442,5
121,449,438,11
122,444,438,6
123,444,436,8
124,440,434,6
125,445,436,9
126,439,431,8
127,441,433,8
128,437,433,4
129,434,428,6
130,435,431,4
131,433,430,3
132,432,429,3
133,432,430,2
134,432,430,2
135,432,430,2
136,432,430,2
137,432,430,2
138,432,430,2
139,432,430,2
140,432,430,2
141,432,430,2
142,432,430,2
143,432,430,2
144,432,430,2
145,432,430,2
146,432,430,2
147,432,430,2
148,432,430,2
149,432,430,2
150,432,430,2
151,433,430,3
152,434,429,5
153,434,430,4
154,436,431,5
155,431,428,3
156,432,427,5
157,429,421,8
158,425,422,3
159,426,423,3
160,431,426,5
161,429,424,5
162,437,427,10
163,430,422,8
164,435,426,9
165,433,425,8
166,434,423,11
167,442,433,9
168,438,429,9
169,440,430,10
170,440,432,8
171,436,428,8
172,434,428,6
173,432,427,5
174,433,427,6
175,430,427,3
176,432,426,6
177,432,428,4
178,434,427,7
179,432,427,5
180,433,427,6
181,436,431,5
182,438,430,8
183,445,432,13
184,442,430,12
185,434,425,9
186,432,423,9
187,434,425,9
188,435,428,7
189,437,426,11
190,442,430,12
191,433,425,8
192,437,424,13
193,431,420,11
194,432,423,9
195,430,417,13
196,433,423,10
197,428,421,7
198,428,422,6
199,430,421,9
200,433,427,6
201,438,427,11
202,441,428,13
203,448,430,18
204,434,424,10
205,433,420,13
206,436,425,11
207,433,423,10
208,436,426,10
209,435,428,7
210,436,428,8
211,435,427,8
212,429,423,6
213,434,427,7
214,430,425,5
215,437,427,10
216,429,424,5
217,426,420,6
218,425,419,6
219,426,423,3
220,431,426,5
221,429,424,5
222,437,427,10
223,430,422,8
224,435,426,9
225,433,425,8
226,434,423,11
227,442,433,9
228,438,429,9
229,440,430,10
230,440,432,8
231,436,428,8
232,434,428,6
233,432,427,5
234,433,427,6
235,430,427,3
236,432,426,6
237,432,428,4
238,434,427,7
239,432,427,5
240,433,427,6
241,436,431,5
242,438,430,8
243,445,432,13
244,442,430,12
245,434,425,9
246,432,423,9
247,434,425,9
248,435,428,7
249,437,426,11
250,442,430,12
251,433,425,8
252,437,424,13
253,431,420,11
254,432,423,9
255,430,417,13
256,433,423,10
257,428,421,7
258,428,422,6
259,430,421,9
260,433,427,6
261,438,427,11
262,439,428,11
263,450,432,18
264,440,428,12
265,435,420,15
266,435,422,13
267,430,420,10
268,434,423,11
269,433,426,7
270,434,426,8
271,433,425,8
272,427,421,6
273,432,425,7
274,428,423,5
275,435,425,10
276,427,422,5
277,424,418,6
278,423,417,6
279,424,421,3
280,429,424,5
281,427,422,5
282,435,425,10
283,428,420,8
284,433,424,9
285,431,423,8
286,432,421,11
287,440,431,9
288,436,427,9
289,438,428,10
290,438,430,8
291,434,426,8
292,432,426,6
293,430,425,5
294,431,425,6
295,428,425,3
296,430,424,6
297,430,426,4
298,432,425,7
299,430,425,5
300,431,425,6
301,434,429,5
302,436,428,8
303,443,430,13
304,440,428,12
305,432,423,9
306,430,421,9
307,432,423,9
308,433,426,7
309,435,424,11
310,440,428,12
311,431,423,8
312,435,422,13
313,429,418,11
314,430,421,9
315,428,415,13
316,431,421,10
317,426,419,7
318,426,420,6
319,428,419,9
320,431,425,6
321,436,425,11
322,439,426,13
323,446,428,18
324,432,422,10
325,431,418,13
326,434,423,11
327,431,421,10
328,434,424,10
329,433,426,7
330,434,426,8
331,433,425,8
332,427,421,6
333,432,425,7
334,428,423,5
335,435,425,10
336,427,422,5
337,424,418,6
338,423,417,6
339,424,421,3
340,429,424,5
341,427,422,5
342,435,425,10
343,428,420,8
344,433,424,9
345,431,423,8
346,432,421,11
347,440,431,9
348,436,427,9
349,438,428,10
350,438,430,8
351,434,426,8
352,432,426,6
353,430,425,5
354,431,425,6
355,428,425,3
356,430,424,6
357,430,426,4
358,432,425,7
359,430,425,5
360,431,425,6
361,434,429,5
362,436,428,8
363,443,430,13
364,440,428,12
365,432,423,9
366,430,421,9
367,432,423,9
368,433,426,7
369,435,424,11
370,440,428,12
371,431,423,8
372,435,422,13
373,429,418,11
374,430,421,9
375,428,415,13
376,431,421,10
377,426,419,7
378,426,420,6
379,428,419,9
380,431,425,6
381,436,425,11
382,437,426,11
383,448,430,18
384,436,426,10
385,436,421,15
386,439,426,13
387,436,424,12
388,441,427,14
389,435,426,9
390,433,422,11
391,429,421,8
392,423,417,6
393,428,421,7
394,424,419,5
395,431,421,10
396,423,418,5
397,420,414,6
398,419,413,6
399,420,417,3
400,425,420,5
401,423,418,5
402,431,421,10
403,424,416,8
404,429,420,9
405,427,419,8
406,428,417,11
407,436,427,9
408,432,423,9
409,434,424,10
410,434,426,8
411,430,422,8
412,428,422,6
413,426,421,5
414,427,421,6
415,424,421,3
416,426,420,6
417,426,422,4
418,428,421,7
419,426,421,5
420,427,421,6
421,430,425,5
422,432,424,8
423,439,426,13
424,436,424,12
425,428,419,9
426,426,417,9
427,428,419,9
428,429,422,7
429,431,420,11
430,436,424,12
431,427,419,8
432,431,418,13
433,425,414,11
434,426,417,9
435,424,411,13
436,427,417,10
437,422,415,7
438,422,416,6
439,424,415,9
440,427,421,6
441,432,421,11
442,435,422,13
443,442,424,18
444,428,418,10
445,427,414,13
446,430,419,11
447,427,417,10
448,430,420,10
449,429,422,7
450,430,422,8
451,429,421,8
452,423,417,6
453,428,421,7
454,424,419,5
455,431,421,10
456,423,418,5
457,420,414,6
458,419,413,6
459,420,417,3
460,425,420,5
461,423,418,5
462,431,421,10
463,424,416,8
464,429,420,9
465,427,419,8
466,428,417,11
467,436,427,9
468,432,423,9
469,434,424,10
470,434,426,8
471,430,422,8
472,428,422,6
473,426,421,5
474,427,421,6
475,424,421,3
476,426,420,6
477,426,422,4
478,428,421,7
479,426,421,5
480,427,421,6
481,430,425,5
482,432,424,8
483,439,426,13
484,436,424,12
485,428,419,9
486,426,417,9
487,428,419,9
488,429,422,7
489,431,420,11
490,436,424,12
491,427,419,8
492,431,418,13
493,425,414,11
494,426,417,9
495,424,411,13
496,427,417,10
497,422,415,7
498,422,416,6
499,424,415,9
500,427,421,6
501,432,421,11
502,433,422,11
503,444,426,18
504,432,422,10
505,432,417,15
506,435,422,13
507,432,420,12
508,435,423,12
509,434,425,9
510,435,425,10
511,434,424,10
512,428,420,8
513,433,424,9
514,429,422,7
515,436,424,12
516,428,421,7
517,425,417,8
518,424,416,8
